,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
10914,51,blue-collar,divorced,primary,no,886,no,no,,17,jun,167,1,-1,0,,no
43815,55,services,divorced,secondary,no,379,no,no,cellular,27,may,275,3,219,2,other,no
31778,35,technician,single,tertiary,no,458,yes,no,cellular,8,apr,2129,1,322,3,failure,no
44103,29,management,single,tertiary,no,502,no,no,cellular,8,jul,968,1,87,5,failure,yes
32452,42,self-employed,married,tertiary,no,52,yes,no,cellular,16,apr,432,1,-1,0,,no
20067,37,housemaid,married,primary,no,189,no,no,cellular,8,aug,148,4,-1,0,,no
13991,26,services,single,secondary,no,235,no,no,cellular,10,jul,721,3,-1,0,,no
40560,63,,married,secondary,no,556,no,no,cellular,9,jul,122,4,-1,0,,no
43058,58,management,married,tertiary,no,473,no,no,cellular,18,feb,1109,1,262,1,success,yes
24562,46,blue-collar,married,primary,no,2749,yes,no,cellular,17,nov,332,1,-1,0,,no
40251,33,management,married,tertiary,no,1390,no,no,cellular,15,jun,92,2,312,2,failure,no
21626,34,technician,divorced,tertiary,no,66,no,yes,cellular,19,aug,74,2,-1,0,,no
19713,54,services,married,primary,no,1059,no,no,cellular,7,aug,147,3,-1,0,,no
18120,59,management,married,tertiary,no,332,yes,yes,cellular,30,jul,35,2,-1,0,,no
7791,46,blue-collar,married,primary,no,-287,yes,no,,30,may,113,3,-1,0,,no
31002,31,technician,single,tertiary,no,830,yes,no,cellular,9,feb,150,3,-1,0,,no
28725,42,technician,single,secondary,no,60,yes,yes,cellular,30,jan,183,2,241,1,other,no
19166,49,technician,married,secondary,no,195,no,no,cellular,5,aug,211,2,-1,0,,no
27383,31,blue-collar,single,secondary,no,1565,yes,no,cellular,21,nov,290,6,-1,0,,no
30319,35,management,divorced,tertiary,no,457,yes,no,cellular,5,feb,114,3,-1,0,,no
34673,45,admin.,single,secondary,no,341,yes,yes,cellular,5,may,77,2,-1,0,,no
31303,28,management,single,secondary,no,171,no,no,cellular,10,mar,93,1,-1,0,,yes
33600,43,blue-collar,divorced,secondary,no,590,yes,yes,cellular,20,apr,306,2,-1,0,,no
6783,28,services,single,secondary,no,281,yes,no,,28,may,201,1,-1,0,,no
39279,28,services,married,secondary,no,38,yes,no,cellular,18,may,16,5,355,3,other,no
2840,51,admin.,married,secondary,no,513,yes,no,,14,may,534,1,-1,0,,no
40360,54,unemployed,married,tertiary,no,6590,no,no,cellular,22,jun,160,4,-1,0,,no
34411,27,blue-collar,single,secondary,no,-289,yes,yes,cellular,5,may,94,5,-1,0,,no
25693,33,management,single,tertiary,no,5945,yes,no,cellular,19,nov,190,1,-1,0,,no
41231,43,admin.,single,secondary,no,733,yes,no,cellular,21,aug,126,1,88,4,success,yes
39717,25,student,single,,no,277,no,no,cellular,27,may,311,2,-1,0,,yes
5461,45,blue-collar,married,primary,no,0,no,no,,23,may,574,5,-1,0,,no
5616,58,blue-collar,married,,no,5505,yes,no,,23,may,317,4,-1,0,,no
11643,37,blue-collar,married,secondary,no,1818,yes,no,,20,jun,193,11,-1,0,,no
21037,49,blue-collar,married,secondary,no,322,no,no,cellular,14,aug,356,2,-1,0,,no
35687,31,technician,single,secondary,no,106,yes,no,cellular,8,may,94,1,-1,0,,no
36804,38,services,single,secondary,no,895,yes,no,cellular,12,may,1531,1,-1,0,,yes
32992,32,blue-collar,married,secondary,no,298,yes,no,cellular,17,apr,163,2,323,7,failure,no
23404,37,management,married,secondary,no,80,no,no,cellular,27,aug,155,3,-1,0,,no
35929,59,management,married,primary,no,0,yes,no,cellular,8,may,130,1,-1,0,,no
13085,36,management,married,tertiary,no,128,no,no,cellular,8,jul,733,1,-1,0,,no
970,41,management,divorced,secondary,no,276,yes,no,,7,may,60,1,-1,0,,no
40967,29,student,single,secondary,no,314,no,no,cellular,13,aug,485,3,105,1,success,no
29251,48,services,married,secondary,no,22,no,no,cellular,2,feb,429,2,-1,0,,no
16271,56,retired,divorced,tertiary,no,2370,no,no,cellular,23,jul,376,1,-1,0,,no
3513,55,,married,,no,666,no,no,,15,may,73,5,-1,0,,no
6774,23,services,single,secondary,no,665,yes,no,,28,may,1183,1,-1,0,,yes
7075,50,management,married,secondary,no,-187,yes,no,,29,may,31,2,-1,0,,no
10010,41,management,single,tertiary,no,1113,yes,yes,,9,jun,388,12,-1,0,,no
30716,46,technician,married,tertiary,no,-369,yes,yes,cellular,6,feb,339,4,-1,0,,no
15374,51,blue-collar,married,secondary,no,145,no,yes,cellular,18,jul,313,1,-1,0,,no
39586,27,unemployed,single,primary,no,223,no,no,cellular,26,may,103,1,-1,0,,no
25904,57,management,married,tertiary,no,1172,no,no,cellular,19,nov,164,3,-1,0,,no
13986,26,management,single,tertiary,no,45,no,no,cellular,10,jul,1187,3,-1,0,,yes
24634,52,blue-collar,married,,no,2171,yes,no,cellular,17,nov,567,2,-1,0,,no
39409,54,management,married,tertiary,no,511,no,no,cellular,22,may,264,2,94,3,failure,no
6016,43,services,married,primary,no,448,yes,no,,26,may,118,6,-1,0,,no
13958,46,blue-collar,married,primary,no,44,no,yes,cellular,10,jul,90,9,-1,0,,no
11680,51,admin.,married,secondary,no,37,no,yes,,20,jun,206,2,-1,0,,no
24879,42,management,married,tertiary,no,2819,yes,no,cellular,18,nov,149,2,-1,0,,no
9850,53,blue-collar,married,secondary,no,1626,no,no,,9,jun,151,1,-1,0,,no
19488,31,technician,married,secondary,no,54,no,no,cellular,7,aug,137,2,-1,0,,no
44833,33,blue-collar,married,secondary,no,889,yes,no,,18,sep,13,1,373,6,success,no
37201,43,services,married,secondary,no,3409,yes,no,cellular,13,may,172,1,-1,0,,no
26726,34,management,married,tertiary,no,1433,no,no,cellular,20,nov,111,3,104,3,failure,no
14087,32,housemaid,divorced,secondary,no,0,yes,no,cellular,11,jul,93,2,-1,0,,no
16845,43,management,divorced,tertiary,no,38,yes,no,cellular,25,jul,197,6,-1,0,,no
26503,34,admin.,married,secondary,no,16489,yes,no,cellular,20,nov,145,1,-1,0,,no
15836,35,management,married,tertiary,no,0,yes,no,cellular,21,jul,199,3,-1,0,,no
24321,58,management,married,tertiary,no,7387,no,no,telephone,17,nov,85,1,-1,0,,no
36186,40,admin.,single,secondary,no,208,yes,yes,cellular,11,may,204,2,-1,0,,no
33917,49,admin.,married,secondary,no,3608,yes,no,cellular,30,apr,252,1,168,1,success,yes
38236,36,technician,single,tertiary,no,391,yes,no,cellular,15,may,185,1,350,8,failure,no
31921,31,blue-collar,single,secondary,no,501,yes,no,cellular,9,apr,132,1,-1,0,,no
10457,40,blue-collar,married,secondary,no,4259,no,no,,12,jun,454,4,-1,0,,no
36199,50,blue-collar,married,secondary,no,372,yes,no,telephone,11,may,21,1,-1,0,,no
23853,33,technician,married,secondary,no,8,no,no,cellular,29,aug,462,2,-1,0,,no
7196,26,technician,single,tertiary,no,77,yes,no,,29,may,125,2,-1,0,,no
16771,57,entrepreneur,married,primary,no,6,yes,no,cellular,24,jul,126,6,-1,0,,no
16721,45,blue-collar,married,secondary,no,2718,yes,no,cellular,24,jul,304,2,-1,0,,no
22164,34,management,married,tertiary,no,0,no,no,cellular,21,aug,124,2,-1,0,,no
6794,35,technician,single,tertiary,no,59,yes,no,,28,may,145,3,-1,0,,no
1479,30,services,married,secondary,no,80,yes,no,,8,may,185,2,-1,0,,no
40057,36,unemployed,married,secondary,no,352,yes,no,cellular,4,jun,94,2,-1,0,,no
19663,31,technician,single,tertiary,no,319,no,yes,cellular,7,aug,446,1,-1,0,,no
22418,30,technician,single,tertiary,no,0,no,no,cellular,22,aug,69,2,-1,0,,no
20236,33,management,single,tertiary,no,0,no,no,cellular,11,aug,699,7,-1,0,,yes
26450,50,blue-collar,married,primary,no,2590,yes,no,telephone,20,nov,281,2,195,6,failure,no
13591,51,services,married,secondary,no,260,no,no,telephone,9,jul,183,2,-1,0,,no
14316,33,technician,single,secondary,no,390,yes,no,cellular,14,jul,254,2,-1,0,,no
21688,39,technician,single,secondary,no,1,no,no,cellular,19,aug,111,2,-1,0,,no
11947,24,unemployed,single,tertiary,no,39,yes,no,,20,jun,15,3,-1,0,,no
33138,33,blue-collar,married,primary,no,217,yes,no,cellular,20,apr,198,1,339,3,failure,no
37260,48,admin.,divorced,secondary,no,83,yes,no,cellular,13,may,1101,1,-1,0,,yes
32056,25,management,single,tertiary,no,702,no,no,cellular,14,apr,163,2,-1,0,,no
22080,40,management,married,tertiary,no,185,no,no,cellular,21,aug,310,2,-1,0,,no
40515,81,management,married,tertiary,no,0,no,no,cellular,7,jul,170,1,-1,0,,no
38872,30,technician,single,secondary,no,120,yes,no,cellular,18,may,74,1,-1,0,,no
6937,30,student,single,tertiary,no,2030,yes,no,,28,may,27,2,-1,0,,no
3449,39,management,divorced,tertiary,no,9541,no,no,,15,may,815,1,-1,0,,no
20843,57,blue-collar,married,primary,no,696,yes,no,cellular,13,aug,89,6,-1,0,,no
41904,36,technician,married,secondary,no,480,no,no,cellular,20,oct,213,1,-1,0,,yes
9141,41,admin.,married,secondary,no,4320,yes,no,,5,jun,245,2,-1,0,,no
4100,49,technician,married,secondary,no,4667,yes,no,,19,may,130,2,-1,0,,no
9148,29,self-employed,married,secondary,no,425,yes,no,,5,jun,562,15,-1,0,,yes
38550,38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
23196,52,management,married,tertiary,no,1158,no,no,cellular,27,aug,57,4,-1,0,,no
3244,50,blue-collar,single,secondary,no,708,yes,no,,15,may,104,1,-1,0,,no
32140,34,services,single,secondary,no,194,yes,yes,cellular,15,apr,149,1,268,2,other,no
37689,35,services,single,secondary,no,35,yes,no,cellular,14,may,152,1,-1,0,,no
43906,36,management,married,tertiary,no,495,no,no,cellular,14,jun,187,1,94,9,success,yes
23694,30,technician,married,secondary,no,42,no,no,cellular,28,aug,140,3,-1,0,,no
21348,30,management,single,tertiary,no,1541,no,no,cellular,18,aug,471,8,-1,0,,yes
41813,30,admin.,married,secondary,no,0,no,no,cellular,15,oct,86,1,140,3,failure,no
8033,34,technician,married,tertiary,no,691,yes,yes,,2,jun,70,1,-1,0,,no
18012,46,admin.,divorced,secondary,no,1203,no,no,cellular,30,jul,227,8,-1,0,,no
29815,34,management,married,tertiary,no,4831,yes,no,cellular,4,feb,265,1,-1,0,,no
23837,31,management,single,tertiary,no,471,no,no,cellular,29,aug,153,2,-1,0,,no
3995,53,blue-collar,married,secondary,no,2,yes,no,,16,may,851,2,-1,0,,no
38849,36,management,single,tertiary,no,10773,yes,no,cellular,18,may,89,1,-1,0,,no
1988,49,services,divorced,secondary,no,315,yes,no,,9,may,117,2,-1,0,,no
15977,44,technician,married,secondary,no,196,no,no,cellular,22,jul,367,1,-1,0,,no
33405,31,blue-collar,single,secondary,no,648,yes,yes,cellular,20,apr,153,1,347,1,failure,no
17309,32,blue-collar,single,secondary,no,82,yes,no,cellular,28,jul,86,4,-1,0,,no
9824,45,housemaid,married,primary,no,1100,no,no,,9,jun,331,6,-1,0,,no
5684,46,admin.,divorced,secondary,no,-454,yes,no,,26,may,120,1,-1,0,,no
44077,28,services,single,secondary,no,198,no,no,cellular,5,jul,128,2,-1,0,,yes
24910,43,management,married,tertiary,no,1684,yes,no,cellular,18,nov,435,4,-1,0,,no
8736,52,admin.,divorced,secondary,no,2002,no,no,,4,jun,103,4,-1,0,,no
29376,28,unemployed,married,primary,no,7459,yes,no,cellular,2,feb,981,5,269,2,failure,yes
14381,40,blue-collar,married,,no,0,yes,no,cellular,14,jul,699,3,-1,0,,no
7535,40,blue-collar,divorced,primary,no,548,yes,yes,,30,may,324,1,-1,0,,no
19497,35,management,married,tertiary,no,260,no,no,cellular,7,aug,358,2,-1,0,,no
6751,25,self-employed,single,secondary,no,1242,yes,no,,28,may,615,2,-1,0,,yes
38105,28,entrepreneur,married,tertiary,no,1900,yes,no,cellular,15,may,9,6,-1,0,,no
40178,39,management,married,tertiary,no,1241,yes,no,cellular,5,jun,138,2,-1,0,,no
13687,38,blue-collar,divorced,secondary,no,-2093,yes,yes,,9,jul,120,3,-1,0,,no
985,40,unemployed,single,secondary,no,350,yes,no,,7,may,287,1,-1,0,,no
6789,31,technician,single,primary,no,449,yes,no,,28,may,174,1,-1,0,,no
30030,34,services,married,secondary,no,382,yes,yes,cellular,4,feb,494,2,198,7,failure,no
29301,46,technician,married,,no,304,no,no,cellular,2,feb,202,2,-1,0,,no
40958,32,management,single,tertiary,no,2465,no,no,cellular,13,aug,414,1,-1,0,,yes
34519,33,blue-collar,married,secondary,no,23,yes,no,cellular,5,may,173,1,-1,0,,no
13661,32,admin.,single,secondary,yes,-17,no,no,,9,jul,85,5,-1,0,,no
41276,69,retired,married,secondary,no,0,no,no,cellular,25,aug,412,2,-1,0,,yes
42388,33,technician,married,tertiary,no,8023,no,no,cellular,30,nov,107,1,105,3,failure,no
22741,37,technician,married,tertiary,no,905,yes,no,cellular,25,aug,111,7,-1,0,,no
17966,45,entrepreneur,married,secondary,no,-479,yes,no,cellular,30,jul,167,2,-1,0,,no
13589,59,self-employed,married,tertiary,no,3800,no,yes,cellular,9,jul,70,1,-1,0,,no
22581,48,blue-collar,married,primary,no,2519,no,no,telephone,22,aug,105,5,-1,0,,no
7507,58,blue-collar,married,secondary,no,1298,yes,no,,29,may,516,4,-1,0,,no
34145,33,blue-collar,single,secondary,no,498,no,no,cellular,30,apr,301,1,-1,0,,yes
13788,37,blue-collar,married,secondary,no,2023,yes,no,cellular,10,jul,214,1,-1,0,,no
3264,50,blue-collar,married,,no,605,yes,no,,15,may,200,1,-1,0,,no
43495,34,technician,single,secondary,no,1313,no,no,cellular,19,apr,237,4,-1,0,,no
19584,31,technician,married,secondary,no,-556,yes,no,cellular,7,aug,115,2,-1,0,,no
30620,44,technician,married,secondary,no,310,yes,no,cellular,6,feb,200,1,253,1,failure,no
24970,39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,48,1,181,3,failure,no
921,41,technician,married,secondary,no,169,yes,no,,7,may,296,2,-1,0,,no
19564,42,management,single,tertiary,no,100,no,no,cellular,7,aug,64,2,-1,0,,no
42505,46,management,married,tertiary,no,0,yes,no,cellular,17,dec,155,1,199,2,failure,no
33883,41,management,married,tertiary,no,2767,no,no,cellular,30,apr,75,1,-1,0,,no
32048,65,management,married,secondary,no,5251,no,no,telephone,14,apr,226,5,-1,0,,no
22371,33,technician,single,tertiary,no,99,no,no,cellular,22,aug,296,2,-1,0,,no
33816,41,unemployed,married,secondary,no,0,yes,yes,telephone,27,apr,89,12,-1,0,,no
37750,55,retired,married,primary,no,-966,no,yes,cellular,14,may,104,1,-1,0,,no
44377,32,unemployed,single,secondary,no,8304,no,no,cellular,2,aug,486,1,286,2,failure,no
33531,33,blue-collar,married,primary,no,1002,yes,no,cellular,20,apr,92,2,325,4,failure,no
15596,25,blue-collar,single,secondary,no,612,yes,no,cellular,21,jul,172,4,-1,0,,no
18547,59,retired,married,primary,no,-266,yes,yes,cellular,31,jul,266,11,-1,0,,no
2687,49,management,married,tertiary,no,735,yes,no,,13,may,50,3,-1,0,,no
32399,33,blue-collar,single,secondary,no,1036,yes,yes,cellular,16,apr,323,2,321,2,failure,no
3050,43,services,married,secondary,no,823,yes,no,,14,may,293,3,-1,0,,no
45030,29,self-employed,single,tertiary,no,270,yes,no,cellular,15,oct,94,5,274,11,failure,no
23394,33,technician,married,secondary,no,1940,no,no,cellular,27,aug,46,10,-1,0,,no
18340,42,management,married,tertiary,no,4617,yes,no,cellular,31,jul,543,2,-1,0,,no
30402,27,management,single,tertiary,no,0,yes,no,cellular,5,feb,196,1,-1,0,,no
5166,31,blue-collar,married,secondary,no,1138,yes,yes,,21,may,254,3,-1,0,,no
6782,29,blue-collar,single,primary,no,231,yes,no,,28,may,122,1,-1,0,,no
1234,31,self-employed,married,tertiary,no,322,yes,no,,8,may,159,1,-1,0,,no
12729,34,self-employed,married,tertiary,no,-236,yes,no,cellular,7,jul,118,4,-1,0,,no
14703,49,blue-collar,divorced,secondary,no,4177,yes,no,cellular,15,jul,275,4,-1,0,,no
28983,39,blue-collar,married,,no,0,no,no,cellular,2,feb,731,1,193,3,failure,no
41765,59,unemployed,married,secondary,no,0,no,no,cellular,13,oct,78,1,216,1,failure,no
36096,29,admin.,single,tertiary,no,200,yes,no,cellular,11,may,195,1,357,1,other,no
10586,40,blue-collar,married,secondary,no,876,no,no,,16,jun,208,1,-1,0,,no
6843,41,blue-collar,single,secondary,no,1621,yes,no,,28,may,119,1,-1,0,,no
13994,58,blue-collar,married,secondary,no,556,no,yes,telephone,10,jul,229,4,-1,0,,no
9184,44,technician,married,secondary,no,1210,no,no,,5,jun,690,2,-1,0,,no
18296,36,self-employed,single,tertiary,no,1240,no,no,cellular,31,jul,812,3,-1,0,,yes
29140,41,management,single,tertiary,no,-24,yes,no,cellular,2,feb,437,1,-1,0,,no
14324,33,entrepreneur,single,tertiary,no,75,yes,no,cellular,14,jul,126,3,-1,0,,no
27549,37,technician,single,secondary,no,363,yes,no,cellular,21,nov,39,4,182,3,failure,no
11212,44,blue-collar,married,secondary,no,1025,yes,no,,18,jun,200,1,-1,0,,no
38070,37,services,married,secondary,no,20,yes,no,telephone,14,may,151,5,-1,0,,no
1813,30,entrepreneur,single,secondary,no,491,yes,no,,9,may,197,4,-1,0,,no
41312,25,admin.,single,tertiary,no,11,no,yes,cellular,27,aug,236,3,-1,0,,no
12366,29,technician,married,tertiary,no,-722,no,yes,,27,jun,121,4,-1,0,,no
23555,59,retired,married,secondary,no,1887,no,no,cellular,28,aug,88,8,-1,0,,no
35102,20,student,single,secondary,no,602,yes,no,cellular,6,may,373,4,-1,0,,no
9287,57,technician,married,primary,no,0,no,no,,5,jun,58,8,-1,0,,no
8249,53,management,married,tertiary,no,6525,yes,no,,2,jun,73,3,-1,0,,no
25304,40,technician,married,secondary,no,7313,yes,no,cellular,18,nov,241,2,182,1,failure,no
41257,77,retired,married,primary,no,680,no,no,telephone,25,aug,103,3,-1,0,,no
5485,31,entrepreneur,single,tertiary,no,150,yes,no,,23,may,83,2,-1,0,,no
38804,31,blue-collar,married,primary,no,54,yes,no,cellular,18,may,239,6,-1,0,,no
9670,39,technician,single,secondary,no,1963,yes,no,,6,jun,100,4,-1,0,,no
39607,60,management,married,tertiary,no,21088,yes,no,cellular,26,may,187,1,-1,0,,no
25083,39,blue-collar,married,primary,no,111,no,no,cellular,18,nov,201,2,-1,0,,no
15327,32,blue-collar,divorced,primary,no,174,yes,no,telephone,18,jul,11,1,-1,0,,no
31179,34,blue-collar,married,primary,no,-398,yes,no,cellular,27,feb,47,8,-1,0,,no
11799,53,services,divorced,secondary,no,-223,no,no,,20,jun,160,1,-1,0,,no
44666,25,technician,single,secondary,no,1298,no,no,cellular,2,sep,206,7,94,2,other,no
10370,59,entrepreneur,married,tertiary,no,631,yes,no,,12,jun,167,1,-1,0,,no
25489,32,blue-collar,single,secondary,no,1721,yes,no,cellular,19,nov,184,2,182,2,failure,no
35868,44,admin.,single,secondary,no,89,yes,yes,cellular,8,may,164,1,-1,0,,no
9207,53,management,married,tertiary,no,652,no,no,,5,jun,91,1,-1,0,,no
36692,51,blue-collar,married,secondary,no,518,yes,no,cellular,12,may,918,1,-1,0,,yes
16827,34,blue-collar,married,secondary,no,3990,yes,no,cellular,24,jul,633,7,-1,0,,no
1856,53,blue-collar,married,secondary,no,-135,yes,no,,9,may,193,2,-1,0,,no
18451,45,management,married,secondary,no,4105,yes,no,cellular,31,jul,49,2,-1,0,,no
35313,54,management,divorced,tertiary,no,0,yes,no,cellular,7,may,199,1,297,3,failure,no
37865,25,admin.,single,secondary,no,248,yes,no,cellular,14,may,121,1,-1,0,,no
22487,47,management,married,tertiary,no,5049,no,no,cellular,22,aug,47,7,-1,0,,no
28523,30,services,single,secondary,no,334,no,no,cellular,29,jan,389,2,-1,0,,no
45110,50,management,married,tertiary,no,8205,yes,no,telephone,25,oct,293,3,508,1,other,no
26669,32,technician,married,secondary,no,5560,yes,yes,cellular,20,nov,330,3,-1,0,,no
23875,33,technician,married,secondary,no,118,yes,no,cellular,29,aug,103,2,-1,0,,no
39227,37,blue-collar,married,secondary,no,-83,yes,no,cellular,18,may,179,4,-1,0,,no
31101,74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,-1,0,,yes
19959,51,technician,married,secondary,no,19,no,yes,cellular,8,aug,160,4,-1,0,,no
27820,33,management,married,tertiary,no,332,yes,yes,cellular,28,jan,706,1,-1,0,,no
4414,30,management,single,tertiary,no,3110,yes,no,,20,may,133,1,-1,0,,no
18519,56,,married,,no,33,no,no,telephone,31,jul,26,15,-1,0,,no
19712,56,retired,married,primary,no,3149,no,no,cellular,7,aug,142,3,-1,0,,no
7665,58,retired,married,primary,no,590,yes,no,,30,may,114,2,-1,0,,no
33954,26,self-employed,single,tertiary,no,1078,no,no,cellular,30,apr,99,2,-1,0,,no
40048,46,admin.,married,secondary,no,15,no,no,telephone,3,jun,218,5,-1,0,,no
40139,25,self-employed,single,tertiary,no,42,yes,no,cellular,5,jun,149,1,94,1,success,yes
30963,49,unemployed,single,tertiary,no,631,no,no,cellular,9,feb,140,6,12,1,other,no
5843,34,blue-collar,married,secondary,no,1257,yes,no,,26,may,109,7,-1,0,,no
22778,52,services,married,secondary,no,-298,no,no,cellular,25,aug,228,4,-1,0,,no
3308,54,technician,married,tertiary,no,4582,yes,no,,15,may,165,1,-1,0,,no
12530,51,blue-collar,married,secondary,no,0,no,yes,,3,jul,109,1,-1,0,,no
1092,37,management,divorced,tertiary,no,42,yes,no,,7,may,564,3,-1,0,,no
36374,57,technician,divorced,secondary,no,99,yes,no,cellular,11,may,133,2,370,2,failure,no
10359,44,unemployed,married,secondary,no,1590,yes,no,,12,jun,349,1,-1,0,,no
38278,59,blue-collar,divorced,secondary,no,3573,no,no,cellular,15,may,44,1,-1,0,,no
36140,59,services,married,secondary,no,33,yes,no,cellular,11,may,138,1,-1,0,,no
4617,34,technician,single,secondary,no,692,yes,no,,20,may,254,1,-1,0,,no
9056,36,blue-collar,married,secondary,no,0,no,no,,5,jun,174,1,-1,0,,no
15818,26,blue-collar,single,primary,no,409,yes,no,cellular,21,jul,577,2,-1,0,,yes
20362,36,technician,divorced,secondary,no,487,no,yes,cellular,11,aug,268,3,-1,0,,no
35118,29,management,married,tertiary,no,0,yes,no,cellular,6,may,667,2,-1,0,,yes
31434,23,management,single,tertiary,no,2143,no,no,cellular,30,mar,180,2,-1,0,,yes
26516,53,blue-collar,married,secondary,no,3815,no,no,telephone,20,nov,75,2,149,3,failure,no
12431,37,self-employed,married,tertiary,no,0,no,yes,,30,jun,202,1,-1,0,,no
20739,32,management,single,tertiary,no,297,no,no,cellular,13,aug,225,2,-1,0,,no
39554,31,technician,single,secondary,no,138,no,no,cellular,26,may,91,1,285,2,other,yes
39796,37,management,married,tertiary,no,1352,no,no,cellular,1,jun,93,1,347,1,success,no
38034,36,blue-collar,married,primary,no,994,yes,no,cellular,14,may,154,2,356,8,success,no
25455,36,admin.,single,tertiary,no,2317,yes,no,cellular,19,nov,56,2,-1,0,,no
567,46,unemployed,married,secondary,no,-125,yes,no,,6,may,23,1,-1,0,,no
40809,60,retired,married,secondary,no,1853,no,no,cellular,11,aug,408,1,-1,0,,yes
15134,33,management,single,tertiary,no,171,yes,no,cellular,17,jul,71,1,-1,0,,no
35965,35,student,married,tertiary,no,387,yes,no,cellular,8,may,1024,3,347,3,failure,yes
35599,34,admin.,divorced,secondary,no,0,yes,no,cellular,7,may,323,3,-1,0,,no
22363,34,technician,married,tertiary,no,149,no,no,cellular,22,aug,739,2,-1,0,,yes
21765,44,management,married,secondary,no,238,no,no,cellular,19,aug,147,3,-1,0,,no
14426,53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272,3,-1,0,,no
7225,52,management,married,tertiary,no,1177,yes,no,,29,may,473,1,-1,0,,no
8186,30,blue-collar,single,secondary,no,953,yes,no,,2,jun,747,2,-1,0,,yes
26819,51,blue-collar,married,primary,no,4712,no,no,telephone,20,nov,172,2,-1,0,,no
587,37,services,married,secondary,no,358,yes,no,,6,may,390,3,-1,0,,no
12260,43,management,married,tertiary,no,149,yes,no,,23,jun,662,2,-1,0,,yes
41921,33,management,single,tertiary,no,6807,no,no,cellular,21,oct,512,2,184,1,success,yes
20117,42,management,married,tertiary,no,687,no,no,cellular,11,aug,667,2,-1,0,,no
24068,45,admin.,married,secondary,no,5346,yes,yes,,21,oct,187,1,-1,0,,yes
43060,26,technician,single,tertiary,no,3411,no,no,cellular,18,feb,236,1,183,2,success,no
18478,51,technician,married,tertiary,no,5059,yes,no,cellular,31,jul,189,2,-1,0,,no
19159,49,admin.,married,secondary,no,381,no,no,cellular,5,aug,504,2,-1,0,,no
23388,43,housemaid,married,secondary,no,2220,no,no,cellular,27,aug,177,3,-1,0,,no
21828,46,management,divorced,tertiary,no,0,no,no,cellular,20,aug,50,2,-1,0,,no
9633,39,blue-collar,married,primary,no,1005,no,no,,6,jun,158,2,-1,0,,no
14543,43,entrepreneur,married,secondary,no,860,yes,yes,cellular,15,jul,131,5,-1,0,,no
31204,34,management,married,tertiary,no,1036,yes,no,cellular,2,mar,78,4,103,7,failure,no
17822,43,entrepreneur,single,tertiary,no,744,no,yes,cellular,29,jul,619,4,-1,0,,no
4683,30,services,single,secondary,no,862,yes,yes,,20,may,550,2,-1,0,,no
32313,38,technician,married,tertiary,no,1004,yes,no,cellular,16,apr,444,2,-1,0,,no
17666,41,admin.,divorced,secondary,no,261,yes,no,cellular,29,jul,797,15,-1,0,,no
24800,41,technician,married,secondary,no,112,yes,no,cellular,18,nov,55,1,-1,0,,no
21157,42,self-employed,married,secondary,no,0,no,no,cellular,14,aug,277,4,-1,0,,no
25691,43,blue-collar,single,secondary,no,9102,yes,no,cellular,19,nov,72,1,-1,0,,no
2987,37,admin.,divorced,secondary,no,-113,yes,no,,14,may,5,2,-1,0,,no
27049,31,management,single,tertiary,no,44128,no,no,cellular,21,nov,74,1,-1,0,,no
15149,27,services,single,secondary,no,1820,yes,no,cellular,17,jul,1027,1,-1,0,,yes
43774,25,self-employed,single,,no,1179,no,no,cellular,24,may,131,2,95,5,failure,no
14634,34,technician,married,secondary,no,0,yes,no,cellular,15,jul,144,1,-1,0,,no
27331,33,management,single,tertiary,no,437,yes,no,cellular,21,nov,285,1,179,4,other,no
281,41,admin.,married,secondary,no,-62,yes,yes,,5,may,55,2,-1,0,,no
14025,40,admin.,married,secondary,no,149,yes,no,cellular,11,jul,159,1,-1,0,,no
21536,49,management,married,secondary,no,0,no,no,cellular,19,aug,141,2,-1,0,,no
7360,48,technician,married,secondary,no,256,yes,no,,29,may,150,4,-1,0,,no
21835,33,management,married,secondary,yes,7,no,yes,cellular,20,aug,239,2,-1,0,,no
32438,24,blue-collar,single,secondary,no,630,yes,no,cellular,16,apr,296,1,-1,0,,no
35866,40,services,married,,no,-516,yes,no,cellular,8,may,272,1,364,2,failure,no
29696,57,technician,married,,no,2610,no,no,telephone,3,feb,258,2,-1,0,,no
578,53,blue-collar,married,primary,no,25,yes,no,,6,may,266,3,-1,0,,no
39766,38,housemaid,divorced,secondary,no,70,no,no,cellular,1,jun,263,1,-1,0,,yes
2855,41,blue-collar,married,secondary,no,-68,yes,no,,14,may,429,2,-1,0,,no
31894,36,management,married,tertiary,no,1198,yes,no,cellular,9,apr,278,3,-1,0,,no
13409,46,entrepreneur,married,secondary,no,118,yes,no,cellular,9,jul,296,1,-1,0,,no
37807,34,self-employed,single,tertiary,no,1272,yes,no,cellular,14,may,202,1,-1,0,,no
6108,36,admin.,married,secondary,no,0,yes,no,,27,may,578,2,-1,0,,no
