,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
36199,50,blue-collar,married,secondary,no,372,yes,no,telephone,11,may,21,1,-1,0,
23853,33,technician,married,secondary,no,8,no,no,cellular,29,aug,462,2,-1,0,
7196,26,technician,single,tertiary,no,77,yes,no,,29,may,125,2,-1,0,
16771,57,entrepreneur,married,primary,no,6,yes,no,cellular,24,jul,126,6,-1,0,
16721,45,blue-collar,married,secondary,no,2718,yes,no,cellular,24,jul,304,2,-1,0,
22164,34,management,married,tertiary,no,0,no,no,cellular,21,aug,124,2,-1,0,
6794,35,technician,single,tertiary,no,59,yes,no,,28,may,145,3,-1,0,
1479,30,services,married,secondary,no,80,yes,no,,8,may,185,2,-1,0,
40057,36,unemployed,married,secondary,no,352,yes,no,cellular,4,jun,94,2,-1,0,
19663,31,technician,single,tertiary,no,319,no,yes,cellular,7,aug,446,1,-1,0,
22418,30,technician,single,tertiary,no,0,no,no,cellular,22,aug,69,2,-1,0,
20236,33,management,single,tertiary,no,0,no,no,cellular,11,aug,699,7,-1,0,
26450,50,blue-collar,married,primary,no,2590,yes,no,telephone,20,nov,281,2,195,6,failure
13591,51,services,married,secondary,no,260,no,no,telephone,9,jul,183,2,-1,0,
14316,33,technician,single,secondary,no,390,yes,no,cellular,14,jul,254,2,-1,0,
21688,39,technician,single,secondary,no,1,no,no,cellular,19,aug,111,2,-1,0,
11947,24,unemployed,single,tertiary,no,39,yes,no,,20,jun,15,3,-1,0,
33138,33,blue-collar,married,primary,no,217,yes,no,cellular,20,apr,198,1,339,3,failure
37260,48,admin.,divorced,secondary,no,83,yes,no,cellular,13,may,1101,1,-1,0,
32056,25,management,single,tertiary,no,702,no,no,cellular,14,apr,163,2,-1,0,
22080,40,management,married,tertiary,no,185,no,no,cellular,21,aug,310,2,-1,0,
40515,81,management,married,tertiary,no,0,no,no,cellular,7,jul,170,1,-1,0,
38872,30,technician,single,secondary,no,120,yes,no,cellular,18,may,74,1,-1,0,
6937,30,student,single,tertiary,no,2030,yes,no,,28,may,27,2,-1,0,
3449,39,management,divorced,tertiary,no,9541,no,no,,15,may,815,1,-1,0,
20843,57,blue-collar,married,primary,no,696,yes,no,cellular,13,aug,89,6,-1,0,
41904,36,technician,married,secondary,no,480,no,no,cellular,20,oct,213,1,-1,0,
9141,41,admin.,married,secondary,no,4320,yes,no,,5,jun,245,2,-1,0,
4100,49,technician,married,secondary,no,4667,yes,no,,19,may,130,2,-1,0,
9148,29,self-employed,married,secondary,no,425,yes,no,,5,jun,562,15,-1,0,
38550,38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other
23196,52,management,married,tertiary,no,1158,no,no,cellular,27,aug,57,4,-1,0,
3244,50,blue-collar,single,secondary,no,708,yes,no,,15,may,104,1,-1,0,
32140,34,services,single,secondary,no,194,yes,yes,cellular,15,apr,149,1,268,2,other
37689,35,services,single,secondary,no,35,yes,no,cellular,14,may,152,1,-1,0,
43906,36,management,married,tertiary,no,495,no,no,cellular,14,jun,187,1,94,9,success
23694,30,technician,married,secondary,no,42,no,no,cellular,28,aug,140,3,-1,0,
21348,30,management,single,tertiary,no,1541,no,no,cellular,18,aug,471,8,-1,0,
41813,30,admin.,married,secondary,no,0,no,no,cellular,15,oct,86,1,140,3,failure
8033,34,technician,married,tertiary,no,691,yes,yes,,2,jun,70,1,-1,0,
18012,46,admin.,divorced,secondary,no,1203,no,no,cellular,30,jul,227,8,-1,0,
29815,34,management,married,tertiary,no,4831,yes,no,cellular,4,feb,265,1,-1,0,
23837,31,management,single,tertiary,no,471,no,no,cellular,29,aug,153,2,-1,0,
3995,53,blue-collar,married,secondary,no,2,yes,no,,16,may,851,2,-1,0,
38849,36,management,single,tertiary,no,10773,yes,no,cellular,18,may,89,1,-1,0,
1988,49,services,divorced,secondary,no,315,yes,no,,9,may,117,2,-1,0,
15977,44,technician,married,secondary,no,196,no,no,cellular,22,jul,367,1,-1,0,
33405,31,blue-collar,single,secondary,no,648,yes,yes,cellular,20,apr,153,1,347,1,failure
17309,32,blue-collar,single,secondary,no,82,yes,no,cellular,28,jul,86,4,-1,0,
9824,45,housemaid,married,primary,no,1100,no,no,,9,jun,331,6,-1,0,
5684,46,admin.,divorced,secondary,no,-454,yes,no,,26,may,120,1,-1,0,
44077,28,services,single,secondary,no,198,no,no,cellular,5,jul,128,2,-1,0,
24910,43,management,married,tertiary,no,1684,yes,no,cellular,18,nov,435,4,-1,0,
8736,52,admin.,divorced,secondary,no,2002,no,no,,4,jun,103,4,-1,0,
29376,28,unemployed,married,primary,no,7459,yes,no,cellular,2,feb,981,5,269,2,failure
14381,40,blue-collar,married,,no,0,yes,no,cellular,14,jul,699,3,-1,0,
7535,40,blue-collar,divorced,primary,no,548,yes,yes,,30,may,324,1,-1,0,
19497,35,management,married,tertiary,no,260,no,no,cellular,7,aug,358,2,-1,0,
6751,25,self-employed,single,secondary,no,1242,yes,no,,28,may,615,2,-1,0,
38105,28,entrepreneur,married,tertiary,no,1900,yes,no,cellular,15,may,9,6,-1,0,
40178,39,management,married,tertiary,no,1241,yes,no,cellular,5,jun,138,2,-1,0,
13687,38,blue-collar,divorced,secondary,no,-2093,yes,yes,,9,jul,120,3,-1,0,
985,40,unemployed,single,secondary,no,350,yes,no,,7,may,287,1,-1,0,
6789,31,technician,single,primary,no,449,yes,no,,28,may,174,1,-1,0,
30030,34,services,married,secondary,no,382,yes,yes,cellular,4,feb,494,2,198,7,failure
29301,46,technician,married,,no,304,no,no,cellular,2,feb,202,2,-1,0,
40958,32,management,single,tertiary,no,2465,no,no,cellular,13,aug,414,1,-1,0,
34519,33,blue-collar,married,secondary,no,23,yes,no,cellular,5,may,173,1,-1,0,
13661,32,admin.,single,secondary,yes,-17,no,no,,9,jul,85,5,-1,0,
41276,69,retired,married,secondary,no,0,no,no,cellular,25,aug,412,2,-1,0,
42388,33,technician,married,tertiary,no,8023,no,no,cellular,30,nov,107,1,105,3,failure
22741,37,technician,married,tertiary,no,905,yes,no,cellular,25,aug,111,7,-1,0,
17966,45,entrepreneur,married,secondary,no,-479,yes,no,cellular,30,jul,167,2,-1,0,
13589,59,self-employed,married,tertiary,no,3800,no,yes,cellular,9,jul,70,1,-1,0,
22581,48,blue-collar,married,primary,no,2519,no,no,telephone,22,aug,105,5,-1,0,
7507,58,blue-collar,married,secondary,no,1298,yes,no,,29,may,516,4,-1,0,
34145,33,blue-collar,single,secondary,no,498,no,no,cellular,30,apr,301,1,-1,0,
13788,37,blue-collar,married,secondary,no,2023,yes,no,cellular,10,jul,214,1,-1,0,
3264,50,blue-collar,married,,no,605,yes,no,,15,may,200,1,-1,0,
43495,34,technician,single,secondary,no,1313,no,no,cellular,19,apr,237,4,-1,0,
19584,31,technician,married,secondary,no,-556,yes,no,cellular,7,aug,115,2,-1,0,
30620,44,technician,married,secondary,no,310,yes,no,cellular,6,feb,200,1,253,1,failure
24970,39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,48,1,181,3,failure
921,41,technician,married,secondary,no,169,yes,no,,7,may,296,2,-1,0,
19564,42,management,single,tertiary,no,100,no,no,cellular,7,aug,64,2,-1,0,
42505,46,management,married,tertiary,no,0,yes,no,cellular,17,dec,155,1,199,2,failure
33883,41,management,married,tertiary,no,2767,no,no,cellular,30,apr,75,1,-1,0,
32048,65,management,married,secondary,no,5251,no,no,telephone,14,apr,226,5,-1,0,
22371,33,technician,single,tertiary,no,99,no,no,cellular,22,aug,296,2,-1,0,
33816,41,unemployed,married,secondary,no,0,yes,yes,telephone,27,apr,89,12,-1,0,
37750,55,retired,married,primary,no,-966,no,yes,cellular,14,may,104,1,-1,0,
44377,32,unemployed,single,secondary,no,8304,no,no,cellular,2,aug,486,1,286,2,failure
33531,33,blue-collar,married,primary,no,1002,yes,no,cellular,20,apr,92,2,325,4,failure
15596,25,blue-collar,single,secondary,no,612,yes,no,cellular,21,jul,172,4,-1,0,
18547,59,retired,married,primary,no,-266,yes,yes,cellular,31,jul,266,11,-1,0,
2687,49,management,married,tertiary,no,735,yes,no,,13,may,50,3,-1,0,
32399,33,blue-collar,single,secondary,no,1036,yes,yes,cellular,16,apr,323,2,321,2,failure
3050,43,services,married,secondary,no,823,yes,no,,14,may,293,3,-1,0,
45030,29,self-employed,single,tertiary,no,270,yes,no,cellular,15,oct,94,5,274,11,failure
23394,33,technician,married,secondary,no,1940,no,no,cellular,27,aug,46,10,-1,0,
18340,42,management,married,tertiary,no,4617,yes,no,cellular,31,jul,543,2,-1,0,
30402,27,management,single,tertiary,no,0,yes,no,cellular,5,feb,196,1,-1,0,
5166,31,blue-collar,married,secondary,no,1138,yes,yes,,21,may,254,3,-1,0,
6782,29,blue-collar,single,primary,no,231,yes,no,,28,may,122,1,-1,0,
1234,31,self-employed,married,tertiary,no,322,yes,no,,8,may,159,1,-1,0,
12729,34,self-employed,married,tertiary,no,-236,yes,no,cellular,7,jul,118,4,-1,0,
14703,49,blue-collar,divorced,secondary,no,4177,yes,no,cellular,15,jul,275,4,-1,0,
28983,39,blue-collar,married,,no,0,no,no,cellular,2,feb,731,1,193,3,failure
41765,59,unemployed,married,secondary,no,0,no,no,cellular,13,oct,78,1,216,1,failure
36096,29,admin.,single,tertiary,no,200,yes,no,cellular,11,may,195,1,357,1,other
10586,40,blue-collar,married,secondary,no,876,no,no,,16,jun,208,1,-1,0,
6843,41,blue-collar,single,secondary,no,1621,yes,no,,28,may,119,1,-1,0,
13994,58,blue-collar,married,secondary,no,556,no,yes,telephone,10,jul,229,4,-1,0,
9184,44,technician,married,secondary,no,1210,no,no,,5,jun,690,2,-1,0,
18296,36,self-employed,single,tertiary,no,1240,no,no,cellular,31,jul,812,3,-1,0,
29140,41,management,single,tertiary,no,-24,yes,no,cellular,2,feb,437,1,-1,0,
14324,33,entrepreneur,single,tertiary,no,75,yes,no,cellular,14,jul,126,3,-1,0,
27549,37,technician,single,secondary,no,363,yes,no,cellular,21,nov,39,4,182,3,failure
11212,44,blue-collar,married,secondary,no,1025,yes,no,,18,jun,200,1,-1,0,
38070,37,services,married,secondary,no,20,yes,no,telephone,14,may,151,5,-1,0,
1813,30,entrepreneur,single,secondary,no,491,yes,no,,9,may,197,4,-1,0,
41312,25,admin.,single,tertiary,no,11,no,yes,cellular,27,aug,236,3,-1,0,
12366,29,technician,married,tertiary,no,-722,no,yes,,27,jun,121,4,-1,0,
23555,59,retired,married,secondary,no,1887,no,no,cellular,28,aug,88,8,-1,0,
35102,20,student,single,secondary,no,602,yes,no,cellular,6,may,373,4,-1,0,
9287,57,technician,married,primary,no,0,no,no,,5,jun,58,8,-1,0,
8249,53,management,married,tertiary,no,6525,yes,no,,2,jun,73,3,-1,0,
25304,40,technician,married,secondary,no,7313,yes,no,cellular,18,nov,241,2,182,1,failure
41257,77,retired,married,primary,no,680,no,no,telephone,25,aug,103,3,-1,0,
5485,31,entrepreneur,single,tertiary,no,150,yes,no,,23,may,83,2,-1,0,
38804,31,blue-collar,married,primary,no,54,yes,no,cellular,18,may,239,6,-1,0,
9670,39,technician,single,secondary,no,1963,yes,no,,6,jun,100,4,-1,0,
39607,60,management,married,tertiary,no,21088,yes,no,cellular,26,may,187,1,-1,0,
25083,39,blue-collar,married,primary,no,111,no,no,cellular,18,nov,201,2,-1,0,
15327,32,blue-collar,divorced,primary,no,174,yes,no,telephone,18,jul,11,1,-1,0,
31179,34,blue-collar,married,primary,no,-398,yes,no,cellular,27,feb,47,8,-1,0,
11799,53,services,divorced,secondary,no,-223,no,no,,20,jun,160,1,-1,0,
44666,25,technician,single,secondary,no,1298,no,no,cellular,2,sep,206,7,94,2,other
10370,59,entrepreneur,married,tertiary,no,631,yes,no,,12,jun,167,1,-1,0,
25489,32,blue-collar,single,secondary,no,1721,yes,no,cellular,19,nov,184,2,182,2,failure
35868,44,admin.,single,secondary,no,89,yes,yes,cellular,8,may,164,1,-1,0,
9207,53,management,married,tertiary,no,652,no,no,,5,jun,91,1,-1,0,
36692,51,blue-collar,married,secondary,no,518,yes,no,cellular,12,may,918,1,-1,0,
16827,34,blue-collar,married,secondary,no,3990,yes,no,cellular,24,jul,633,7,-1,0,
1856,53,blue-collar,married,secondary,no,-135,yes,no,,9,may,193,2,-1,0,
18451,45,management,married,secondary,no,4105,yes,no,cellular,31,jul,49,2,-1,0,
35313,54,management,divorced,tertiary,no,0,yes,no,cellular,7,may,199,1,297,3,failure
37865,25,admin.,single,secondary,no,248,yes,no,cellular,14,may,121,1,-1,0,
22487,47,management,married,tertiary,no,5049,no,no,cellular,22,aug,47,7,-1,0,
28523,30,services,single,secondary,no,334,no,no,cellular,29,jan,389,2,-1,0,
45110,50,management,married,tertiary,no,8205,yes,no,telephone,25,oct,293,3,508,1,other
26669,32,technician,married,secondary,no,5560,yes,yes,cellular,20,nov,330,3,-1,0,
23875,33,technician,married,secondary,no,118,yes,no,cellular,29,aug,103,2,-1,0,
39227,37,blue-collar,married,secondary,no,-83,yes,no,cellular,18,may,179,4,-1,0,
31101,74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,-1,0,
19959,51,technician,married,secondary,no,19,no,yes,cellular,8,aug,160,4,-1,0,
27820,33,management,married,tertiary,no,332,yes,yes,cellular,28,jan,706,1,-1,0,
4414,30,management,single,tertiary,no,3110,yes,no,,20,may,133,1,-1,0,
18519,56,,married,,no,33,no,no,telephone,31,jul,26,15,-1,0,
19712,56,retired,married,primary,no,3149,no,no,cellular,7,aug,142,3,-1,0,
7665,58,retired,married,primary,no,590,yes,no,,30,may,114,2,-1,0,
33954,26,self-employed,single,tertiary,no,1078,no,no,cellular,30,apr,99,2,-1,0,
40048,46,admin.,married,secondary,no,15,no,no,telephone,3,jun,218,5,-1,0,
40139,25,self-employed,single,tertiary,no,42,yes,no,cellular,5,jun,149,1,94,1,success
30963,49,unemployed,single,tertiary,no,631,no,no,cellular,9,feb,140,6,12,1,other
5843,34,blue-collar,married,secondary,no,1257,yes,no,,26,may,109,7,-1,0,
22778,52,services,married,secondary,no,-298,no,no,cellular,25,aug,228,4,-1,0,
3308,54,technician,married,tertiary,no,4582,yes,no,,15,may,165,1,-1,0,
12530,51,blue-collar,married,secondary,no,0,no,yes,,3,jul,109,1,-1,0,
1092,37,management,divorced,tertiary,no,42,yes,no,,7,may,564,3,-1,0,
36374,57,technician,divorced,secondary,no,99,yes,no,cellular,11,may,133,2,370,2,failure
10359,44,unemployed,married,secondary,no,1590,yes,no,,12,jun,349,1,-1,0,
38278,59,blue-collar,divorced,secondary,no,3573,no,no,cellular,15,may,44,1,-1,0,
36140,59,services,married,secondary,no,33,yes,no,cellular,11,may,138,1,-1,0,
4617,34,technician,single,secondary,no,692,yes,no,,20,may,254,1,-1,0,
9056,36,blue-collar,married,secondary,no,0,no,no,,5,jun,174,1,-1,0,
15818,26,blue-collar,single,primary,no,409,yes,no,cellular,21,jul,577,2,-1,0,
20362,36,technician,divorced,secondary,no,487,no,yes,cellular,11,aug,268,3,-1,0,
35118,29,management,married,tertiary,no,0,yes,no,cellular,6,may,667,2,-1,0,
31434,23,management,single,tertiary,no,2143,no,no,cellular,30,mar,180,2,-1,0,
26516,53,blue-collar,married,secondary,no,3815,no,no,telephone,20,nov,75,2,149,3,failure
12431,37,self-employed,married,tertiary,no,0,no,yes,,30,jun,202,1,-1,0,
20739,32,management,single,tertiary,no,297,no,no,cellular,13,aug,225,2,-1,0,
39554,31,technician,single,secondary,no,138,no,no,cellular,26,may,91,1,285,2,other
39796,37,management,married,tertiary,no,1352,no,no,cellular,1,jun,93,1,347,1,success
38034,36,blue-collar,married,primary,no,994,yes,no,cellular,14,may,154,2,356,8,success
25455,36,admin.,single,tertiary,no,2317,yes,no,cellular,19,nov,56,2,-1,0,
567,46,unemployed,married,secondary,no,-125,yes,no,,6,may,23,1,-1,0,
40809,60,retired,married,secondary,no,1853,no,no,cellular,11,aug,408,1,-1,0,
15134,33,management,single,tertiary,no,171,yes,no,cellular,17,jul,71,1,-1,0,
35965,35,student,married,tertiary,no,387,yes,no,cellular,8,may,1024,3,347,3,failure
35599,34,admin.,divorced,secondary,no,0,yes,no,cellular,7,may,323,3,-1,0,
22363,34,technician,married,tertiary,no,149,no,no,cellular,22,aug,739,2,-1,0,
21765,44,management,married,secondary,no,238,no,no,cellular,19,aug,147,3,-1,0,
14426,53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272,3,-1,0,
7225,52,management,married,tertiary,no,1177,yes,no,,29,may,473,1,-1,0,
8186,30,blue-collar,single,secondary,no,953,yes,no,,2,jun,747,2,-1,0,
26819,51,blue-collar,married,primary,no,4712,no,no,telephone,20,nov,172,2,-1,0,
587,37,services,married,secondary,no,358,yes,no,,6,may,390,3,-1,0,
12260,43,management,married,tertiary,no,149,yes,no,,23,jun,662,2,-1,0,
41921,33,management,single,tertiary,no,6807,no,no,cellular,21,oct,512,2,184,1,success
20117,42,management,married,tertiary,no,687,no,no,cellular,11,aug,667,2,-1,0,
24068,45,admin.,married,secondary,no,5346,yes,yes,,21,oct,187,1,-1,0,
43060,26,technician,single,tertiary,no,3411,no,no,cellular,18,feb,236,1,183,2,success
18478,51,technician,married,tertiary,no,5059,yes,no,cellular,31,jul,189,2,-1,0,
19159,49,admin.,married,secondary,no,381,no,no,cellular,5,aug,504,2,-1,0,
23388,43,housemaid,married,secondary,no,2220,no,no,cellular,27,aug,177,3,-1,0,
21828,46,management,divorced,tertiary,no,0,no,no,cellular,20,aug,50,2,-1,0,
9633,39,blue-collar,married,primary,no,1005,no,no,,6,jun,158,2,-1,0,
14543,43,entrepreneur,married,secondary,no,860,yes,yes,cellular,15,jul,131,5,-1,0,
31204,34,management,married,tertiary,no,1036,yes,no,cellular,2,mar,78,4,103,7,failure
17822,43,entrepreneur,single,tertiary,no,744,no,yes,cellular,29,jul,619,4,-1,0,
4683,30,services,single,secondary,no,862,yes,yes,,20,may,550,2,-1,0,
32313,38,technician,married,tertiary,no,1004,yes,no,cellular,16,apr,444,2,-1,0,
17666,41,admin.,divorced,secondary,no,261,yes,no,cellular,29,jul,797,15,-1,0,
24800,41,technician,married,secondary,no,112,yes,no,cellular,18,nov,55,1,-1,0,
21157,42,self-employed,married,secondary,no,0,no,no,cellular,14,aug,277,4,-1,0,
25691,43,blue-collar,single,secondary,no,9102,yes,no,cellular,19,nov,72,1,-1,0,
2987,37,admin.,divorced,secondary,no,-113,yes,no,,14,may,5,2,-1,0,
27049,31,management,single,tertiary,no,44128,no,no,cellular,21,nov,74,1,-1,0,
15149,27,services,single,secondary,no,1820,yes,no,cellular,17,jul,1027,1,-1,0,
43774,25,self-employed,single,,no,1179,no,no,cellular,24,may,131,2,95,5,failure
14634,34,technician,married,secondary,no,0,yes,no,cellular,15,jul,144,1,-1,0,
27331,33,management,single,tertiary,no,437,yes,no,cellular,21,nov,285,1,179,4,other
281,41,admin.,married,secondary,no,-62,yes,yes,,5,may,55,2,-1,0,
14025,40,admin.,married,secondary,no,149,yes,no,cellular,11,jul,159,1,-1,0,
21536,49,management,married,secondary,no,0,no,no,cellular,19,aug,141,2,-1,0,
7360,48,technician,married,secondary,no,256,yes,no,,29,may,150,4,-1,0,
21835,33,management,married,secondary,yes,7,no,yes,cellular,20,aug,239,2,-1,0,
32438,24,blue-collar,single,secondary,no,630,yes,no,cellular,16,apr,296,1,-1,0,
35866,40,services,married,,no,-516,yes,no,cellular,8,may,272,1,364,2,failure
29696,57,technician,married,,no,2610,no,no,telephone,3,feb,258,2,-1,0,
578,53,blue-collar,married,primary,no,25,yes,no,,6,may,266,3,-1,0,
39766,38,housemaid,divorced,secondary,no,70,no,no,cellular,1,jun,263,1,-1,0,
2855,41,blue-collar,married,secondary,no,-68,yes,no,,14,may,429,2,-1,0,
31894,36,management,married,tertiary,no,1198,yes,no,cellular,9,apr,278,3,-1,0,
13409,46,entrepreneur,married,secondary,no,118,yes,no,cellular,9,jul,296,1,-1,0,
37807,34,self-employed,single,tertiary,no,1272,yes,no,cellular,14,may,202,1,-1,0,
6108,36,admin.,married,secondary,no,0,yes,no,,27,may,578,2,-1,0,
42729,40,admin.,married,tertiary,no,1108,no,no,cellular,26,jan,228,1,92,5,failure
22752,34,technician,married,tertiary,no,11126,no,no,cellular,25,aug,140,4,-1,0,
39736,35,admin.,single,tertiary,no,777,no,yes,cellular,28,may,85,1,-1,0,
11456,37,blue-collar,married,primary,no,253,yes,no,,19,jun,145,2,-1,0,
37867,50,management,single,secondary,no,4527,yes,no,cellular,14,may,140,1,-1,0,
31713,50,services,single,secondary,no,1716,yes,no,cellular,7,apr,272,1,-1,0,
16241,40,services,divorced,secondary,no,-81,no,yes,cellular,23,jul,186,1,-1,0,
36288,58,services,married,secondary,no,1301,yes,no,cellular,11,may,261,1,286,2,failure
25270,39,unemployed,married,tertiary,no,1108,yes,no,cellular,18,nov,191,2,-1,0,
10357,36,blue-collar,married,primary,no,4138,no,no,,12,jun,174,1,-1,0,
9191,59,housemaid,married,primary,no,500,no,no,,5,jun,94,1,-1,0,
7691,51,technician,married,secondary,no,4924,yes,no,,30,may,448,1,-1,0,
23657,34,management,single,tertiary,no,4348,yes,no,cellular,28,aug,373,8,-1,0,
44474,47,management,married,tertiary,no,2306,no,no,telephone,6,aug,239,4,-1,0,
22913,44,blue-collar,married,secondary,no,268,no,no,cellular,26,aug,127,5,-1,0,
18180,47,management,married,tertiary,no,337,no,no,telephone,30,jul,300,5,-1,0,
8539,39,self-employed,single,tertiary,no,1132,yes,no,,3,jun,216,1,-1,0,
20881,47,housemaid,married,primary,no,183,no,no,cellular,13,aug,144,1,-1,0,
3221,56,retired,married,secondary,no,1894,yes,no,,15,may,189,1,-1,0,
11738,52,housemaid,divorced,primary,no,1697,no,no,,20,jun,153,1,-1,0,
8640,28,services,single,primary,no,302,no,no,,3,jun,248,9,-1,0,
5064,35,management,married,tertiary,no,1631,yes,no,,21,may,83,2,-1,0,
44669,88,retired,married,primary,no,648,no,no,telephone,3,sep,318,1,-1,0,
11092,50,services,married,secondary,no,1134,no,no,,18,jun,53,2,-1,0,
27497,34,management,single,tertiary,no,2343,no,no,telephone,21,nov,39,9,-1,0,
24012,33,technician,married,secondary,no,23,no,no,cellular,29,aug,53,4,-1,0,
7382,31,technician,married,secondary,no,222,yes,no,,29,may,251,4,-1,0,
30081,30,services,married,secondary,no,357,yes,no,cellular,4,feb,215,3,253,4,failure
12245,49,,married,secondary,no,4846,no,no,,20,jun,638,9,-1,0,
7949,32,admin.,divorced,secondary,no,-417,no,no,,30,may,25,5,-1,0,
25526,41,management,married,tertiary,no,1495,yes,no,cellular,19,nov,210,2,-1,0,
25300,31,management,single,secondary,yes,0,no,no,cellular,18,nov,129,2,-1,0,
6907,29,management,married,tertiary,no,8089,yes,no,,28,may,314,2,-1,0,
29687,56,blue-collar,married,primary,no,284,no,yes,telephone,3,feb,124,4,204,4,failure
38876,26,management,single,tertiary,yes,-130,yes,no,cellular,18,may,216,1,-1,0,
23468,52,blue-collar,married,primary,no,-27,no,no,cellular,28,aug,51,8,-1,0,
17887,43,blue-collar,married,secondary,no,511,yes,no,cellular,30,jul,67,7,-1,0,
8836,27,entrepreneur,single,tertiary,no,0,yes,no,,4,jun,103,2,-1,0,
4387,38,management,single,tertiary,no,690,yes,no,,20,may,34,1,-1,0,
36203,58,admin.,divorced,secondary,no,3058,yes,no,telephone,11,may,114,1,368,1,failure
11715,48,management,married,tertiary,no,5320,yes,no,,20,jun,792,1,-1,0,
35285,21,technician,single,secondary,no,64,yes,no,cellular,7,may,16,1,-1,0,
26990,33,admin.,married,tertiary,no,-1011,no,no,cellular,21,nov,134,1,-1,0,
20967,33,technician,married,secondary,no,620,no,no,cellular,14,aug,106,2,-1,0,
24902,41,services,married,secondary,no,446,yes,no,cellular,18,nov,296,1,186,1,success
25632,32,admin.,single,secondary,no,10218,yes,no,cellular,19,nov,149,2,-1,0,
28185,33,management,divorced,tertiary,no,893,yes,no,cellular,29,jan,259,1,259,9,failure
8722,59,management,divorced,tertiary,no,1611,yes,no,,4,jun,107,2,-1,0,
33168,34,entrepreneur,married,secondary,yes,-538,yes,no,cellular,20,apr,428,1,-1,0,
22010,49,admin.,married,secondary,no,2465,no,no,cellular,20,aug,157,3,-1,0,
5158,23,blue-collar,single,primary,no,965,yes,no,,21,may,1161,4,-1,0,
40663,21,student,single,secondary,no,491,no,no,cellular,6,aug,161,1,-1,0,
18028,53,self-employed,married,primary,no,4576,no,no,telephone,30,jul,82,2,-1,0,
10415,44,management,single,tertiary,no,3355,yes,no,,12,jun,312,2,-1,0,
28997,56,unemployed,married,secondary,no,0,no,no,telephone,2,feb,492,1,-1,0,
26750,42,management,married,tertiary,no,9009,no,no,cellular,20,nov,135,2,-1,0,
28546,26,blue-collar,married,secondary,no,145,no,no,cellular,29,jan,309,2,-1,0,
14367,42,services,married,secondary,no,-369,no,no,cellular,14,jul,72,3,-1,0,
30629,31,blue-collar,married,secondary,no,492,yes,no,cellular,6,feb,99,1,-1,0,
23821,46,management,married,tertiary,no,1008,no,no,cellular,29,aug,24,13,-1,0,
1122,41,blue-collar,married,primary,no,258,yes,no,,7,may,252,1,-1,0,
21279,36,management,single,tertiary,no,1283,no,no,cellular,18,aug,92,5,-1,0,
35253,36,management,single,tertiary,no,-679,yes,yes,cellular,7,may,172,1,93,1,failure
37579,34,blue-collar,married,secondary,no,529,yes,no,cellular,14,may,325,1,351,3,failure
23985,47,management,single,tertiary,no,124,no,no,cellular,29,aug,14,15,-1,0,
1238,24,services,married,secondary,no,620,yes,no,,8,may,144,1,-1,0,
5569,31,management,single,tertiary,no,357,yes,no,,23,may,77,3,-1,0,
30607,35,admin.,divorced,secondary,no,627,yes,no,cellular,6,feb,298,6,275,2,failure
20138,33,management,divorced,tertiary,no,348,no,no,cellular,11,aug,71,2,-1,0,
39213,22,management,single,tertiary,no,103,yes,no,cellular,18,may,130,2,-1,0,
12756,27,services,single,secondary,no,266,no,yes,cellular,7,jul,232,1,-1,0,
40484,36,admin.,married,secondary,no,110,yes,yes,cellular,7,jul,94,1,-1,0,
1194,43,management,married,tertiary,no,870,yes,yes,,8,may,528,1,-1,0,
40646,25,student,single,secondary,no,41,yes,no,telephone,5,aug,100,2,93,2,failure
10538,52,management,married,primary,no,740,no,no,,16,jun,206,1,-1,0,
15112,37,management,married,tertiary,no,50,no,yes,cellular,17,jul,105,1,-1,0,
18442,46,services,married,secondary,no,998,yes,no,cellular,31,jul,126,2,-1,0,
20531,49,management,married,tertiary,no,350,no,no,cellular,12,aug,238,6,-1,0,
781,47,blue-collar,married,secondary,no,1001,yes,no,,7,may,201,4,-1,0,
2971,40,entrepreneur,married,secondary,no,264,yes,no,,14,may,222,2,-1,0,
19302,48,services,married,primary,no,483,no,no,cellular,6,aug,119,2,-1,0,
7031,41,services,married,secondary,no,803,yes,no,,28,may,88,3,-1,0,
19570,46,retired,married,secondary,no,23,yes,yes,cellular,7,aug,122,2,-1,0,
40971,44,technician,divorced,secondary,no,14,no,no,cellular,13,aug,234,1,-1,0,
24462,53,admin.,divorced,tertiary,no,493,yes,yes,cellular,17,nov,64,3,-1,0,
11490,51,entrepreneur,married,primary,no,4711,no,no,,19,jun,253,1,-1,0,
6652,31,admin.,single,secondary,no,162,yes,no,,28,may,247,1,-1,0,
6066,43,services,married,secondary,no,278,yes,no,,26,may,14,20,-1,0,
7707,41,services,married,secondary,no,96,yes,no,,30,may,136,2,-1,0,
11645,45,entrepreneur,married,tertiary,no,0,yes,no,,20,jun,50,2,-1,0,
39483,50,services,divorced,secondary,no,641,no,no,cellular,25,may,128,3,-1,0,
13786,35,services,single,secondary,no,25,yes,no,cellular,10,jul,144,1,-1,0,
