age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
32,blue-collar,single,secondary,no,476,yes,yes,,19,may,503,2,-1,0,,no
46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no
35,management,divorced,tertiary,no,500,yes,no,cellular,5,feb,177,1,252,1,failure,no
47,blue-collar,married,primary,no,117,yes,no,,7,may,113,2,-1,0,,no
59,blue-collar,married,secondary,no,12928,no,no,cellular,8,aug,66,2,-1,0,,no
42,technician,married,secondary,no,-113,yes,yes,cellular,29,jul,32,5,-1,0,,no
34,technician,single,secondary,no,302,yes,no,,14,may,282,1,-1,0,,no
29,services,married,secondary,no,-597,no,no,cellular,7,jul,500,2,-1,0,,no
36,technician,divorced,secondary,no,487,no,yes,cellular,11,aug,268,3,-1,0,,no
45,blue-collar,married,primary,no,0,no,no,cellular,26,aug,454,2,-1,0,,no
40,management,married,tertiary,no,0,no,no,cellular,18,aug,261,7,-1,0,,no
31,services,married,secondary,no,-163,yes,no,cellular,17,apr,135,1,270,2,failure,no
32,blue-collar,married,secondary,no,305,yes,no,cellular,20,nov,73,1,-1,0,,no
40,blue-collar,married,primary,no,743,no,no,,5,jun,18,2,-1,0,,no
52,management,married,tertiary,no,-11,yes,no,cellular,11,may,94,4,-1,0,,no
48,management,single,tertiary,no,86,no,no,cellular,28,jun,281,3,186,6,other,yes
53,retired,married,tertiary,no,7132,no,no,cellular,13,aug,88,2,-1,0,,no
37,management,married,tertiary,no,393,yes,no,cellular,14,may,567,3,275,4,failure,yes
27,services,single,secondary,no,4923,yes,no,,19,may,57,7,-1,0,,no
46,technician,married,secondary,no,218,no,no,cellular,10,jul,41,1,-1,0,,no
37,management,married,secondary,no,222,yes,no,cellular,20,apr,115,2,-1,0,,no
37,blue-collar,married,primary,no,5,yes,no,,23,may,266,2,-1,0,,no
39,unemployed,married,tertiary,no,1108,yes,no,cellular,18,nov,191,2,-1,0,,no
44,management,divorced,tertiary,no,0,no,no,cellular,28,aug,70,10,-1,0,,no
33,services,married,secondary,no,184,yes,no,,13,may,109,4,-1,0,,no
49,technician,married,secondary,no,1684,no,yes,cellular,1,jun,412,2,-1,0,,yes
47,blue-collar,married,primary,no,-290,yes,no,cellular,15,may,495,1,-1,0,,no
35,technician,married,tertiary,no,328,yes,no,cellular,22,jul,654,2,-1,0,,yes
31,entrepreneur,single,tertiary,no,95,no,no,cellular,25,aug,51,5,-1,0,,no
40,services,married,secondary,no,56,yes,no,cellular,12,may,700,3,-1,0,,no
60,retired,divorced,tertiary,no,468,no,no,cellular,7,jul,108,2,-1,0,,no
60,retired,married,,no,963,no,no,cellular,22,aug,148,10,-1,0,,no
58,technician,married,secondary,no,2073,no,no,,2,jun,393,3,-1,0,,no
52,management,married,tertiary,no,0,yes,no,cellular,30,jul,161,6,-1,0,,no
51,blue-collar,married,secondary,no,145,no,yes,cellular,18,jul,313,1,-1,0,,no
49,admin.,divorced,secondary,no,1718,no,yes,cellular,5,aug,211,1,-1,0,,yes
36,technician,married,secondary,no,24,yes,no,cellular,18,nov,59,1,-1,0,,no
28,management,single,tertiary,no,1086,yes,no,,29,may,128,2,-1,0,,no
38,technician,married,tertiary,no,-1350,yes,yes,,28,may,96,4,-1,0,,no
37,services,married,secondary,no,345,yes,yes,cellular,16,apr,114,1,148,1,failure,no
31,blue-collar,single,secondary,no,1358,yes,yes,,23,may,339,2,-1,0,,no
41,blue-collar,married,secondary,no,-664,yes,yes,cellular,13,may,185,4,-1,0,,no
44,blue-collar,single,primary,no,343,yes,yes,cellular,18,may,19,7,-1,0,,no
48,services,married,secondary,no,51,yes,yes,cellular,2,feb,90,1,262,1,failure,no
43,management,married,tertiary,no,1684,yes,no,cellular,18,nov,435,4,-1,0,,no
38,admin.,married,,no,4583,yes,no,cellular,17,nov,191,2,-1,0,,no
46,management,married,tertiary,no,1008,no,no,cellular,29,aug,24,13,-1,0,,no
34,management,married,tertiary,no,1262,no,no,cellular,14,aug,478,1,-1,0,,no
46,,married,tertiary,no,8564,no,no,cellular,2,aug,397,2,342,1,failure,no
33,services,married,secondary,no,4789,yes,yes,cellular,11,may,220,1,339,4,failure,no
53,services,married,secondary,no,1461,no,no,cellular,25,aug,262,6,-1,0,,no
55,retired,married,secondary,no,785,yes,no,cellular,14,may,47,1,370,2,failure,no
40,services,married,,no,4075,yes,no,,16,jun,162,3,-1,0,,no
51,management,divorced,tertiary,no,119,no,no,,5,jun,112,2,-1,0,,no
29,blue-collar,married,secondary,no,313,yes,no,cellular,20,apr,172,2,343,3,other,no
48,management,married,tertiary,no,0,yes,no,cellular,4,may,85,1,61,5,failure,no
52,blue-collar,married,primary,no,994,no,no,cellular,22,aug,109,2,-1,0,,no
22,student,single,secondary,no,722,yes,no,cellular,2,apr,108,1,-1,0,,no
49,admin.,married,secondary,no,381,no,no,cellular,5,aug,504,2,-1,0,,no
26,technician,single,tertiary,no,77,yes,no,,29,may,125,2,-1,0,,no
27,services,single,secondary,no,266,no,yes,cellular,7,jul,232,1,-1,0,,no
39,management,married,tertiary,no,1802,no,no,cellular,25,jan,129,2,97,2,failure,no
48,technician,married,tertiary,no,348,no,no,cellular,19,aug,159,4,-1,0,,no
54,management,married,tertiary,no,511,no,no,cellular,22,may,264,2,94,3,failure,no
47,blue-collar,married,primary,no,468,no,no,cellular,21,aug,381,7,-1,0,,no
51,housemaid,married,primary,no,137,no,no,cellular,14,aug,169,2,-1,0,,no
42,blue-collar,married,primary,no,692,no,yes,,19,jun,207,1,-1,0,,no
32,technician,married,secondary,no,5560,yes,yes,cellular,20,nov,330,3,-1,0,,no
30,technician,married,secondary,no,371,no,no,cellular,7,aug,124,2,-1,0,,no
46,technician,married,secondary,no,0,no,no,cellular,6,aug,132,2,-1,0,,no
45,services,single,secondary,no,-688,no,yes,cellular,8,jul,106,1,-1,0,,no
27,student,single,secondary,no,1566,no,no,cellular,30,jan,164,5,-1,0,,no
26,technician,single,secondary,no,-211,yes,no,,23,may,164,3,-1,0,,no
50,services,married,secondary,yes,892,yes,no,cellular,10,jul,189,1,-1,0,,no
48,management,married,tertiary,no,408,yes,no,cellular,17,apr,132,1,-1,0,,no
59,retired,married,primary,no,3079,no,no,telephone,31,jul,19,2,-1,0,,no
38,housemaid,married,secondary,no,634,no,no,,11,jun,105,4,-1,0,,no
36,management,single,tertiary,no,10773,yes,no,cellular,18,may,89,1,-1,0,,no
37,blue-collar,married,,no,444,no,no,cellular,1,oct,143,1,94,9,other,no
67,retired,married,secondary,no,1146,no,no,cellular,13,aug,187,2,-1,0,,no
30,blue-collar,divorced,secondary,no,-209,yes,no,,6,may,188,2,-1,0,,no
27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,,no
32,management,single,tertiary,no,0,yes,no,cellular,20,apr,415,2,-1,0,,no
26,admin.,single,secondary,no,1200,no,no,cellular,29,jan,232,3,-1,0,,no
27,entrepreneur,single,tertiary,no,0,yes,no,,4,jun,103,2,-1,0,,no
35,management,married,secondary,no,724,yes,no,cellular,14,jul,287,2,415,1,failure,yes
55,admin.,married,secondary,no,131,yes,no,,6,may,744,1,-1,0,,no
64,self-employed,married,tertiary,no,661,no,no,cellular,21,dec,367,2,294,2,failure,yes
32,management,single,tertiary,no,28,no,no,cellular,8,aug,111,2,-1,0,,no
51,technician,married,tertiary,no,1533,no,no,,18,jun,242,2,-1,0,,no
39,admin.,single,secondary,no,1965,yes,no,cellular,8,may,247,1,-1,0,,no
41,admin.,married,secondary,no,4320,yes,no,,5,jun,245,2,-1,0,,no
41,entrepreneur,married,primary,no,759,yes,no,,4,jun,79,10,-1,0,,no
33,management,married,tertiary,no,2308,yes,no,,21,may,232,2,-1,0,,no
41,management,married,tertiary,no,102,no,no,cellular,28,jan,244,1,-1,0,,no
29,self-employed,single,tertiary,no,270,yes,no,cellular,15,oct,94,5,274,11,failure,no
37,blue-collar,married,primary,no,4997,no,no,,9,jun,172,2,-1,0,,no
30,blue-collar,married,primary,no,1,yes,yes,telephone,22,jul,80,2,-1,0,,no
43,management,single,tertiary,no,0,no,no,cellular,30,jun,275,2,296,1,failure,yes
45,housemaid,divorced,primary,no,413,yes,no,,30,may,65,1,-1,0,,no
43,technician,married,tertiary,no,2643,no,no,telephone,4,may,331,5,-1,0,,yes
39,blue-collar,married,primary,no,315,yes,no,cellular,15,may,259,3,353,3,failure,no
34,services,married,secondary,no,190,yes,no,cellular,15,may,121,3,-1,0,,no
55,technician,married,tertiary,no,1097,yes,no,cellular,7,aug,191,4,-1,0,,no
57,entrepreneur,married,tertiary,no,234,no,no,cellular,23,jul,169,2,-1,0,,no
54,blue-collar,married,secondary,no,688,yes,no,cellular,4,feb,379,2,-1,0,,no
58,blue-collar,married,primary,no,47,no,no,cellular,6,aug,281,2,-1,0,,no
72,retired,married,primary,no,4657,no,no,cellular,22,dec,305,3,309,5,success,yes
33,blue-collar,married,primary,no,925,no,no,cellular,20,nov,884,3,-1,0,,no
59,retired,divorced,primary,no,121,yes,no,,12,may,144,7,-1,0,,no
59,services,married,secondary,no,33,yes,no,cellular,11,may,138,1,-1,0,,no
63,,married,secondary,no,556,no,no,cellular,9,jul,122,4,-1,0,,no
36,admin.,married,secondary,no,176,yes,no,,23,may,111,1,-1,0,,no
27,management,married,tertiary,no,893,no,no,cellular,16,oct,154,2,-1,0,,yes
56,blue-collar,married,secondary,no,813,yes,yes,,14,jul,71,1,-1,0,,no
63,technician,married,secondary,no,896,yes,no,cellular,28,jan,115,3,91,4,other,no
45,management,married,tertiary,no,0,no,no,cellular,18,nov,179,2,-1,0,,no
52,management,married,tertiary,no,1339,yes,no,cellular,22,aug,343,5,-1,0,,no
52,,married,primary,no,547,no,no,,6,jun,33,2,-1,0,,no
39,admin.,divorced,tertiary,no,1087,no,yes,cellular,23,jul,85,2,-1,0,,no
39,management,married,tertiary,no,0,yes,yes,,16,may,107,2,-1,0,,no
28,admin.,single,secondary,no,4745,no,no,telephone,12,may,360,1,181,5,success,yes
49,admin.,married,secondary,no,0,yes,no,cellular,17,nov,201,1,-1,0,,no
54,services,divorced,secondary,no,43,no,yes,cellular,21,nov,289,1,-1,0,,no
56,management,divorced,tertiary,no,2037,no,no,cellular,5,aug,318,1,91,6,failure,yes
32,management,married,secondary,no,6217,yes,yes,,21,may,486,2,-1,0,,no
34,unemployed,married,tertiary,no,473,no,no,cellular,28,aug,94,11,-1,0,,no
28,management,single,tertiary,no,890,yes,no,cellular,7,sep,201,1,-1,0,,yes
35,entrepreneur,married,tertiary,no,280,yes,no,,21,may,502,1,-1,0,,no
52,admin.,married,primary,no,2390,no,yes,cellular,19,nov,216,2,-1,0,,no
46,management,married,primary,no,3229,yes,no,cellular,20,apr,1550,1,-1,0,,yes
34,technician,single,tertiary,no,82,no,no,cellular,19,aug,292,4,-1,0,,no
53,blue-collar,married,secondary,no,314,yes,no,,28,may,184,2,-1,0,,no
39,blue-collar,married,primary,no,1005,no,no,,6,jun,158,2,-1,0,,no
43,services,married,secondary,no,823,yes,no,,14,may,293,3,-1,0,,no
32,housemaid,married,primary,no,67,yes,no,cellular,16,jul,95,4,-1,0,,no
39,admin.,divorced,secondary,no,160,yes,no,cellular,5,aug,156,1,-1,0,,no
35,management,married,tertiary,no,1684,yes,no,cellular,28,aug,39,8,-1,0,,no
40,blue-collar,married,primary,no,2562,yes,no,,15,may,487,4,-1,0,,no
58,blue-collar,married,primary,no,226,yes,yes,cellular,10,may,135,3,-1,0,,no
42,technician,married,,no,1559,no,no,cellular,30,apr,368,1,-1,0,,yes
38,admin.,single,secondary,no,-211,no,yes,cellular,31,jul,166,2,-1,0,,no
31,blue-collar,married,secondary,no,-720,yes,yes,,15,may,112,2,-1,0,,no
40,management,married,tertiary,no,89,yes,yes,telephone,9,feb,148,6,-1,0,,no
31,entrepreneur,married,secondary,no,15,no,yes,cellular,29,jan,190,2,-1,0,,no
37,blue-collar,married,primary,no,2120,yes,no,cellular,15,may,655,3,175,4,failure,yes
45,services,married,secondary,no,27,yes,yes,cellular,31,jul,43,2,-1,0,,no
41,services,divorced,secondary,no,1838,yes,yes,telephone,24,jul,242,4,-1,0,,no
35,unemployed,single,primary,no,-17,no,no,cellular,28,jan,100,1,-1,0,,no
81,retired,divorced,primary,no,519,no,no,telephone,9,sep,488,1,-1,0,,no
55,technician,divorced,secondary,no,852,no,no,cellular,20,aug,83,6,-1,0,,no
41,management,married,tertiary,no,20,yes,no,cellular,17,nov,99,1,151,2,failure,no
27,student,single,tertiary,no,5169,yes,no,cellular,3,sep,431,1,466,3,success,yes
29,admin.,married,secondary,no,453,yes,no,cellular,17,jul,384,4,-1,0,,no
59,blue-collar,married,primary,no,2814,no,no,,20,jun,81,3,-1,0,,no
31,admin.,single,secondary,no,4198,no,no,cellular,25,nov,234,1,-1,0,,yes
49,admin.,married,secondary,no,2732,no,no,,12,jun,558,1,-1,0,,no
46,management,married,,no,638,yes,no,cellular,28,jan,68,1,-1,0,,no
56,services,divorced,secondary,no,140,no,no,cellular,10,jul,173,1,-1,0,,no
32,management,single,tertiary,no,656,yes,yes,cellular,20,apr,148,2,-1,0,,no
31,technician,single,secondary,no,775,no,no,cellular,2,feb,361,1,-1,0,,no
39,services,married,secondary,no,247,yes,no,cellular,17,apr,244,2,-1,0,,no
30,unemployed,single,secondary,no,8304,no,no,cellular,20,apr,245,1,-1,0,,no
49,management,single,tertiary,no,1,yes,no,,6,jun,59,3,-1,0,,no
27,blue-collar,single,secondary,no,14,no,no,,14,may,72,2,-1,0,,no
27,entrepreneur,single,tertiary,no,6,no,no,cellular,11,jul,143,2,-1,0,,no
40,housemaid,married,secondary,no,116,no,no,cellular,11,aug,1099,4,-1,0,,no
44,management,married,secondary,no,576,yes,no,,8,may,128,3,-1,0,,no
41,services,married,secondary,no,96,yes,no,,30,may,136,2,-1,0,,no
34,technician,single,secondary,no,513,yes,no,cellular,5,may,165,3,169,5,other,no
34,technician,married,secondary,no,1026,no,no,cellular,12,nov,319,1,100,6,failure,no
55,technician,married,tertiary,no,639,yes,no,telephone,13,may,992,5,370,3,other,no
44,services,married,secondary,no,0,yes,yes,,16,may,471,2,-1,0,,no
37,management,married,tertiary,no,1352,no,no,cellular,1,jun,93,1,347,1,success,no
35,services,married,tertiary,no,6,yes,yes,cellular,16,apr,316,2,-1,0,,no
34,technician,single,tertiary,no,783,no,no,cellular,8,jul,281,1,-1,0,,no
25,management,single,tertiary,no,553,yes,no,cellular,17,sep,113,4,479,1,failure,no
61,admin.,divorced,secondary,no,4519,no,no,cellular,6,sep,145,1,391,11,other,no
47,management,married,tertiary,no,0,no,no,cellular,4,aug,491,1,-1,0,,no
31,management,single,tertiary,no,357,yes,no,,23,may,77,3,-1,0,,no
36,blue-collar,married,secondary,no,2848,yes,no,cellular,20,nov,265,3,-1,0,,no
34,services,married,secondary,no,382,yes,yes,cellular,4,feb,494,2,198,7,failure,no
36,technician,single,tertiary,no,4644,no,no,cellular,26,aug,29,12,-1,0,,no
41,management,single,tertiary,no,-24,yes,no,cellular,2,feb,437,1,-1,0,,no
36,blue-collar,married,primary,no,272,no,no,,11,jun,222,2,-1,0,,no
50,admin.,divorced,secondary,no,-194,yes,no,cellular,13,apr,238,2,-1,0,,no
55,management,married,tertiary,no,6880,no,no,cellular,8,aug,353,2,-1,0,,no
28,blue-collar,single,primary,no,0,yes,yes,,3,jun,380,4,-1,0,,no
40,management,single,tertiary,no,383,yes,no,,6,jun,106,5,-1,0,,no
37,self-employed,married,secondary,yes,0,no,yes,cellular,21,jul,320,1,-1,0,,no
53,housemaid,married,primary,no,2581,no,no,cellular,21,oct,828,1,189,1,failure,yes
47,admin.,married,secondary,no,257,yes,no,,15,may,484,11,-1,0,,no
41,admin.,divorced,secondary,no,0,no,yes,cellular,23,jul,400,2,-1,0,,no
41,blue-collar,married,primary,no,7735,yes,no,,14,may,240,1,-1,0,,no
25,blue-collar,single,secondary,no,330,yes,no,,4,jun,605,1,-1,0,,no
53,blue-collar,married,secondary,no,813,yes,no,,21,may,23,16,-1,0,,no
34,management,single,tertiary,no,2561,no,no,cellular,29,dec,554,1,-1,0,,no
31,management,single,tertiary,no,3295,no,no,cellular,2,feb,845,2,-1,0,,no
47,management,married,tertiary,no,2597,no,no,cellular,31,jul,52,2,-1,0,,no
31,services,married,secondary,no,-641,yes,yes,,27,may,296,2,-1,0,,no
37,management,married,tertiary,no,0,no,no,cellular,14,sep,155,1,-1,0,,no
51,services,married,secondary,no,260,no,no,telephone,9,jul,183,2,-1,0,,no
28,admin.,single,secondary,no,1448,no,no,cellular,8,jun,130,5,-1,0,,no
49,technician,married,secondary,no,4667,yes,no,,19,may,130,2,-1,0,,no
34,management,single,tertiary,no,747,no,no,cellular,25,may,109,1,-1,0,,no
51,blue-collar,married,secondary,no,0,no,yes,,3,jul,109,1,-1,0,,no
37,blue-collar,married,secondary,no,-57,yes,yes,cellular,7,may,55,5,-1,0,,no
31,blue-collar,married,secondary,no,-723,yes,no,cellular,25,jul,112,2,-1,0,,no
59,management,married,primary,no,120,no,yes,cellular,17,jul,102,2,-1,0,,no
31,management,married,tertiary,no,131,no,no,cellular,18,feb,332,2,-1,0,,yes
43,blue-collar,married,primary,no,2901,yes,no,cellular,13,apr,179,4,-1,0,,no
43,entrepreneur,married,secondary,no,860,yes,yes,cellular,15,jul,131,5,-1,0,,no
28,unemployed,single,primary,no,1374,no,no,cellular,23,apr,203,4,-1,0,,yes
38,technician,single,secondary,no,373,yes,no,cellular,11,jul,404,1,-1,0,,no
45,unemployed,single,secondary,no,33,no,no,cellular,5,feb,437,1,-1,0,,no
37,blue-collar,married,secondary,no,16,yes,no,,7,may,250,1,-1,0,,no
59,admin.,married,secondary,no,373,yes,yes,cellular,28,jul,362,7,-1,0,,no
24,self-employed,single,tertiary,no,931,yes,no,,28,may,200,4,-1,0,,no
45,management,married,tertiary,no,1199,no,no,telephone,3,feb,221,2,-1,0,,no
43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,-1,0,,yes
45,admin.,married,secondary,no,356,no,no,cellular,25,aug,42,6,-1,0,,no
35,blue-collar,married,tertiary,no,1016,yes,no,cellular,17,jul,294,2,-1,0,,no
47,housemaid,married,primary,no,183,no,no,cellular,13,aug,144,1,-1,0,,no
34,technician,married,secondary,no,4,yes,no,,15,may,644,1,-1,0,,no
66,retired,married,tertiary,no,525,no,no,telephone,16,apr,287,1,-1,0,,no
49,entrepreneur,married,primary,no,5380,yes,no,,4,jun,98,4,-1,0,,no
30,management,single,tertiary,no,162,yes,no,,20,may,186,4,-1,0,,no
39,blue-collar,single,secondary,no,4143,yes,yes,,2,jun,21,1,-1,0,,no
41,housemaid,married,secondary,no,304,no,no,cellular,20,aug,132,1,-1,0,,no
33,technician,married,secondary,no,620,no,no,cellular,14,aug,106,2,-1,0,,no
25,admin.,single,tertiary,no,11,no,yes,cellular,27,aug,236,3,-1,0,,no
36,admin.,divorced,secondary,no,592,no,no,cellular,13,oct,204,2,99,5,failure,yes
43,blue-collar,divorced,secondary,no,590,yes,yes,cellular,20,apr,306,2,-1,0,,no
48,admin.,married,secondary,no,8,no,yes,cellular,7,jul,46,1,-1,0,,no
29,services,single,secondary,no,209,yes,no,cellular,28,jul,487,7,-1,0,,no
52,management,married,tertiary,no,1453,no,no,telephone,29,jul,254,21,-1,0,,no
36,blue-collar,divorced,primary,no,102,no,no,cellular,3,feb,306,2,-1,0,,no
44,blue-collar,married,primary,no,0,no,no,,11,jun,112,2,-1,0,,no
60,retired,divorced,tertiary,no,-134,no,no,cellular,12,may,243,1,271,4,failure,no
55,technician,single,secondary,no,1199,no,yes,telephone,11,aug,91,1,99,10,failure,no
42,blue-collar,married,primary,no,807,yes,no,cellular,19,nov,1057,1,-1,0,,yes
37,management,married,tertiary,no,108,yes,yes,cellular,4,jun,262,2,-1,0,,yes
53,admin.,married,secondary,no,1815,no,no,cellular,29,jul,86,6,-1,0,,no
46,technician,single,tertiary,no,2800,no,no,,5,jun,47,1,-1,0,,no
59,services,married,secondary,no,292,no,yes,cellular,22,jul,246,4,-1,0,,no
46,technician,divorced,secondary,no,225,no,no,cellular,6,aug,530,5,-1,0,,no
54,blue-collar,married,secondary,yes,381,yes,yes,telephone,16,jul,198,1,-1,0,,no
36,blue-collar,single,secondary,no,1598,yes,no,cellular,5,feb,208,1,-1,0,,no
50,management,married,tertiary,yes,72,no,no,cellular,22,aug,171,13,-1,0,,no
54,services,married,secondary,no,2431,yes,no,,19,may,221,4,-1,0,,no
31,technician,single,tertiary,no,830,yes,no,cellular,9,feb,150,3,-1,0,,no
24,admin.,single,secondary,no,-386,yes,no,cellular,5,may,180,1,-1,0,,no
28,admin.,single,,no,2736,no,no,cellular,8,jul,705,1,-1,0,,yes
28,blue-collar,single,secondary,no,-193,no,no,cellular,18,jul,580,7,-1,0,,no
55,management,married,tertiary,no,505,yes,yes,,29,may,135,2,-1,0,,no
36,management,single,tertiary,no,3139,no,no,,3,jun,182,5,-1,0,,no
51,blue-collar,divorced,primary,no,886,no,no,,17,jun,167,1,-1,0,,no
35,blue-collar,married,secondary,no,225,yes,no,cellular,6,may,160,7,343,2,failure,no
21,student,single,secondary,no,39,no,no,cellular,6,jul,207,2,-1,0,,no
36,technician,married,secondary,no,480,no,no,cellular,20,oct,213,1,-1,0,,yes
33,self-employed,single,tertiary,no,1354,yes,no,cellular,20,nov,130,2,-1,0,,no
41,management,single,tertiary,no,236,no,no,cellular,26,aug,72,4,-1,0,,no
43,blue-collar,married,secondary,no,514,yes,yes,cellular,20,apr,34,2,-1,0,,no
34,student,single,,no,86,no,no,cellular,16,nov,244,2,178,1,failure,no
56,blue-collar,married,secondary,no,2190,no,yes,,12,jun,270,1,-1,0,,no
29,blue-collar,single,secondary,no,2806,no,no,cellular,15,oct,294,1,93,5,other,no
29,housemaid,single,secondary,no,4537,yes,no,telephone,5,may,29,1,-1,0,,no
34,services,married,secondary,no,334,yes,no,cellular,17,apr,139,2,318,1,failure,no
52,blue-collar,married,secondary,no,409,no,no,cellular,8,aug,137,2,-1,0,,no
53,blue-collar,married,secondary,no,3815,no,no,telephone,20,nov,75,2,149,3,failure,no
29,services,single,primary,no,339,no,no,,4,jul,1576,3,-1,0,,yes
53,management,married,tertiary,no,652,no,no,,5,jun,91,1,-1,0,,no
50,admin.,divorced,secondary,yes,-500,yes,no,,14,may,148,3,-1,0,,no
30,technician,single,secondary,no,148,yes,yes,cellular,15,may,115,5,-1,0,,no
38,technician,single,secondary,no,1711,no,no,telephone,30,sep,234,1,-1,0,,yes
42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,77,1,103,4,success,no
44,blue-collar,married,secondary,no,129,yes,yes,,5,may,189,2,-1,0,,no
46,management,single,tertiary,no,0,no,no,cellular,22,aug,686,2,-1,0,,yes
35,technician,married,secondary,no,2019,yes,yes,cellular,18,nov,83,2,144,1,failure,no
54,housemaid,divorced,secondary,yes,34,no,no,cellular,21,jul,208,3,-1,0,,no
36,blue-collar,married,secondary,no,3266,yes,no,cellular,21,nov,94,1,-1,0,,no
33,technician,single,secondary,no,390,yes,no,cellular,14,jul,254,2,-1,0,,no
36,services,married,,no,-19,no,yes,cellular,24,jul,185,1,-1,0,,no
36,unemployed,married,tertiary,no,4145,no,no,,20,jun,988,4,-1,0,,yes
36,admin.,single,secondary,no,47,no,yes,cellular,9,jul,36,6,-1,0,,no
39,blue-collar,single,primary,no,1790,yes,no,,4,jun,229,6,-1,0,,no
39,blue-collar,married,secondary,no,459,yes,no,,27,may,307,2,-1,0,,no
49,blue-collar,married,secondary,no,165,no,yes,cellular,25,jul,682,10,-1,0,,no
38,management,married,secondary,no,242,no,no,cellular,17,nov,88,2,-1,0,,no
47,self-employed,married,tertiary,no,917,no,no,cellular,6,feb,518,3,212,5,failure,no
46,admin.,divorced,secondary,no,-454,yes,no,,26,may,120,1,-1,0,,no
31,management,single,tertiary,no,796,no,yes,cellular,21,nov,150,1,-1,0,,no
39,admin.,single,secondary,no,0,no,yes,,19,jun,142,1,-1,0,,no
55,admin.,married,secondary,no,1232,no,no,cellular,27,aug,97,7,-1,0,,no
44,admin.,married,secondary,no,10354,no,no,telephone,4,may,96,1,-1,0,,no
34,management,married,tertiary,no,1433,no,no,cellular,20,nov,111,3,104,3,failure,no
59,blue-collar,divorced,primary,no,1265,no,yes,cellular,7,jul,849,1,-1,0,,yes
39,entrepreneur,married,tertiary,no,0,no,no,cellular,31,jul,70,3,-1,0,,no
51,services,married,primary,no,0,no,no,cellular,8,aug,121,2,-1,0,,no
49,blue-collar,divorced,secondary,no,4177,yes,no,cellular,15,jul,275,4,-1,0,,no
66,retired,married,primary,no,206,no,no,cellular,9,feb,479,1,-1,0,,yes
57,blue-collar,married,,no,4722,yes,no,,18,jun,121,2,-1,0,,no
58,retired,married,tertiary,no,-607,no,yes,cellular,28,jan,145,1,-1,0,,no
31,technician,married,tertiary,no,1570,yes,no,cellular,8,mar,277,4,286,1,failure,yes
69,admin.,married,secondary,no,813,no,no,telephone,28,sep,237,2,-1,0,,no
53,blue-collar,married,primary,no,25,yes,no,,6,may,266,3,-1,0,,no
37,self-employed,married,tertiary,no,0,no,yes,,30,jun,202,1,-1,0,,no
34,blue-collar,married,secondary,no,763,yes,no,,27,may,99,1,-1,0,,no
37,blue-collar,married,primary,no,153,no,yes,cellular,31,jul,15,26,-1,0,,no
58,retired,married,secondary,no,19,no,yes,cellular,15,jul,106,3,-1,0,,no
39,blue-collar,married,secondary,no,661,yes,no,cellular,3,feb,84,4,267,4,failure,no
40,admin.,married,secondary,no,168,yes,no,cellular,7,may,249,2,169,1,failure,no
47,blue-collar,married,secondary,no,1203,yes,no,cellular,17,apr,239,2,-1,0,,no
42,admin.,divorced,secondary,no,2129,no,no,cellular,13,aug,633,1,182,2,other,yes
39,management,single,tertiary,no,0,no,no,cellular,6,may,389,2,-1,0,,no
43,services,married,secondary,no,861,yes,no,,9,jun,78,1,-1,0,,no
36,blue-collar,married,secondary,no,873,yes,no,,20,jun,44,3,-1,0,,no
33,blue-collar,married,secondary,no,7048,yes,no,cellular,17,apr,71,2,-1,0,,no
28,technician,single,tertiary,no,183,yes,yes,,28,may,62,2,-1,0,,no
57,entrepreneur,married,secondary,no,926,no,no,,17,jun,447,3,-1,0,,no
26,technician,single,tertiary,no,3628,no,no,cellular,5,may,151,1,-1,0,,no
31,blue-collar,married,secondary,no,-617,yes,no,,2,jun,115,2,-1,0,,no
58,retired,married,secondary,no,14412,no,no,cellular,18,nov,297,1,-1,0,,no
45,technician,married,primary,no,-158,yes,no,cellular,12,may,317,2,-1,0,,no
30,management,single,tertiary,no,275,yes,no,cellular,20,apr,52,2,-1,0,,no
45,blue-collar,single,secondary,yes,0,no,yes,cellular,16,jul,154,2,-1,0,,no
41,blue-collar,married,secondary,no,790,yes,no,cellular,6,apr,173,1,-1,0,,no
39,technician,married,secondary,no,8,no,yes,cellular,13,aug,87,2,-1,0,,no
54,technician,married,secondary,no,42,no,yes,,3,jul,389,2,-1,0,,no
54,technician,married,tertiary,no,876,no,no,cellular,27,oct,269,3,541,3,success,yes
65,management,married,secondary,no,5251,no,no,telephone,14,apr,226,5,-1,0,,no
46,self-employed,divorced,tertiary,no,8017,yes,yes,cellular,21,nov,169,2,-1,0,,no
29,services,single,secondary,no,166,no,yes,cellular,28,jul,108,8,-1,0,,no
32,management,single,tertiary,no,131,yes,no,cellular,11,aug,112,1,81,1,other,no
42,services,single,tertiary,no,94,yes,no,cellular,13,may,45,4,-1,0,,no
59,housemaid,divorced,,no,873,yes,no,,7,may,152,3,-1,0,,no
34,blue-collar,single,secondary,no,177,yes,no,,8,may,500,1,-1,0,,no
